name	mz	rt	D121	A122	A125	A126	A127	A128	B131	B132	B133	B134	B135	B136	C138	C139	C140	C157	C158	C159	C160	D202	D203	D205	A206	D207	D208	E211	E213	E214	E215	E216	H234	H235	H236	H237	H238	H239	H240
M209T251	209.0643021	250.505628	255111.5186	396977.8127	225133.5527		440785.1451	285909.1926	784102.6408	603194.2042	376744.3419	444146.5709	187619.5455	460383.1114	269113.7878	308861.7403		140406.6637	742527.8822		320490.6148	524173.0216	317376.8531	152992.6917	274721.5535	336377.7535	299646.4253	332117.4756		515231.2064		272440.583	585748.3154	281120.4432	320928.8058	458353.1539	572678.6086	172577.5519	
M209T297	209.1178391	296.693928	1549132.247		1714508.425	3376828.503		1206066.531	3240224.817	2434697.779	1900169.356	1922069.787	903668.9476	3942581.702	1657494.803	2921104.528	1668964.543	873775.5917		642220.4563	2967769.35		1071514.957	1465346.234	2531599.359	2776706.82	1078234.988	1199317.079	565307.6472	1895523.656	2319501.826	2272124.052	5884730.412	2002987.712		3259090.755		622447.7546	254040.4934
M209T78	209.1288756	78.46209		192906.841	179034.1982	238162.0533	302951.065	153956.3996		412858.7228		389474.4661	305570.4596	452946.8984	192892.3073	279991.3486	470810.1754		266088.1495	108999.3853	237047.3769	195744.9011	156858.6657	87837.09911	383225.6753	488573.4439	143238.4954	196885.4391		276020.5861	270445.5711	274969.1263	432424.0727	192125.6149	117900.4348	497446.0099	579322.4924	161762.934	
M209T273_2	209.1541903	273.27927	1514516.802		1991163.136		5453906.452	3440814.108		3761713.895		4006768.121	1470806.401	3680420.863	2096804.411	3369501.248	1305649.145	1502245.159	4787633.146	1164268.739	4724672.927	3788865.595	1380004.69	1269284.571	2147196.631	4603237.688	2220564.883	2261826.308	1827654.725	3248991.938	3321271.506	2952473.544	2875805.525		2031628.595	3800430.41	4365515.541	1338081.135	
M209T63	209.1597497	62.53017	146599.92	169530.7537	183288.396	250556.6017	167484.6256	206071.5563	183165.449	249347.5676	92451.35539	198960.8106			160261.8815	106468.3038	202645.2653	468682.9386	738799.1139	143284.0009	228037.5457		94165.29832	177446.8046	345718.656	271345.3253	159155.9109	197113.4036	111934.3681	127328.7141	383989.3721		71926.52455	397255.5575		194589.8194	263990.7021	120833.7405	
M210T121	210.0459602	121.331808		80900.21054	87309.34788	92249.56597	173475.8501	45923.77767	151558.7274	118456.0262	112202.6209	148684.1695	64596.29463	152113.5805	108335.3309	220649.641	36130.61901	21782.58423	131879.1671	45419.68193	119359.4809	52223.70355	34299.98547	31361.27376	54186.62131	114156.2557	57768.2694	92245.35791		111810.3494	108428.5687	75647.25846		27025.97317		183158.0153		16172.33462	
M210T93_1	210.1350416	92.817261	457501.9101	294981.3677		237824.6718	85033.57234		593085.0201	360235.4513	443840.9858	334421.0523	181563.8706	250179.2073	435030.7176		486102.7866	179336.1101	774384.9457		535847.6568	346162.1068	243042.5744		247696.0363	860898.997	279265.9466	202711.0326	88448.50742	563062.489	415612.9097	365050.0444	306643.5139		187172.6088	539094.0122	771785.7016	174981.6364	63727.9288
M211T69	211.1164916	69.482622		73513.07787	106425.8064	126946.5627	145150.5775	79551.83664	130132.1947	311294.33		156310.2808	114681.4147	77866.62849	139223.3503	142528.4242	285020.5685	47611.95996	120442.3843	46918.29274	87156.84399	113769.3614	70313.03628	57303.89182	175462.5256	97287.6809	24247.74588		38060.47681		143830.7607	170217.8539	109103.117	89751.96931		123599.4311	105186.9804	94364.70951	
M213T208	213.0640389	208.239213	217227.7923	114253.594	114885.7816	78916.29108	119630.6391			122854.5445	178187.5747	119505.027	178984.4848	73808.39498	82195.04094	61323.91759	77330.83566		119855.3775	201862.5019	97814.09358	182236.32	178386.871	236210.8314		268585.1155	213907.104	94127.80637	155467.6302	130562.954	167002.9662	163105.552			143133.7231	167589.5578	124956.2533	183256.9528	129806.1214
M213T265	213.1490306	264.585309	1616635.785	3177320.694	3996519.407	7996942.974	4832546.241	3347062.225	8234134.886	4970210.929		4148484.654	1604392.537		2528442.359		4478025.201	1389400.31	4916625.027	1791689.303	3218034.799	3989937.094	1926048.467	3601549.516	4314371.275		1932458.422	2892368.034	1781393.435	4547046.311	6258601.265	3342128.676		3169822.185	2805185.728	4005808.312		1711065.389	409057.7335
M214T772_1	213.9422687	771.55518	311663.4017	522899.7773	456466.5218	404455.2018		358926.6577		488339.268	484406.3981	321182.598	548592.6935	414050.3397	523926.7728	521318.2766	347183.8906	559413.2873	545628.9717	480132.02	546619.6451	463427.4867	527335.7345	498505.6382	414455.277	474738.2595	547824.5936	431039.15	556675.4513	497348.4053	473655.4205	554313.8877	528423.1772			540708.335	487946.8293		
M214T127_1	214.0505709	127.057386	306363.1058	24723.58318	41997.57351	107788.8992	136838.6155	132340.9928	43860.78532	123445.2815		58906.82972	32164.60386	92765.8186	37251.75414	51368.09581		65437.11784	52269.83913	51131.74432	125204.5773	29324.66993	46122.22527	10690.1645	145026.1511	95533.53545			23070.21517		107888.382		92235.91556	162087.7772	64815.40249	66994.91071	40120.31708	37716.47399	14027.20243
M214T118	214.1385693	118.433694			60451.2306	57983.68663	129850.8748	43231.04723	82913.6473	67260.36938	55525.6148	111299.1002	47416.51692	147804.2545	52212.09813	181045.1158	35775.44305	43983.73704	41200.259	34342.53119	114829.9893	32751.39776			14113.54213	201804.5603	27076.15391	52218.16325	28607.85023	139270.31	79379.42281	48807.45755		24446.44411	95897.80925	163218.9124	135282.3796	27862.21876	
M215T58_2	215.0431978	57.828291		138620.3842	1103625.21	369089.6023		734399.4868	1880119.656	934254.1141	795286.7708	1516095.109	90345.0943	526914.3565	1841504.587	893368.9617	1762746.402	732724.6608	1505151.002	118274.7177	1575891.837	426374.0666	632499.9071	1706526.451	848596.0953	3532389.227	721595.0121	1073940.649	321862.583		107997.6253		1304987.469	452121.7185		1265850.526	1461339.32	160017.8459	
M215T346	215.0936121	345.64272	270436.6237	141679.2247	153003.3438	305197.849		212075.1777	247025.2116		136765.2505	190135.6065	137798.1646		150189.066		274507.291	138332.1629	217920.4859	153070.9275	127768.5461	176834.4025	141748.3541	158715.2248	232239.933		128827.852	191005.4195	134168.8842	136849.0846	296545.2309	140551.0224	116082.3594	143770.6711	264462.0783	130072.8054		189688.7821	153940.3305
M215T262_1	215.1112643	261.915324	467481.311	330721.1836		489092.3322		457476.3114	754393.1434	578900.3354	299829.9418	531162.3561	180439.4402	784130.4709	177941.5934	550127.1506	214549.7126	181912.4358		237973.5953	390521.2188	380007.3818	200475.5864	234748.9031	352263.9858	308187.6534			344424.7528		483927.5882	639535.8343	3307863.329	754233.6324	630973.2296	1148704.967	2526198.092	114246.5283	81347.6789
